Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.01   6977.94     1.05                             __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double) (cmath:437 @ 40ec93)
  0.01   6978.99     1.05                             sgenrand2i(unsigned long) (main_v2.3.2.cpp:3281 @ 40dbb1)
  0.01   6980.03     1.05 654536679     0.00     0.00  Tree::FallTree() (main_v2.3.2.cpp:1407 @ 4046a0)
  0.01   6981.07     1.04                             Tree::Growth() (main_v2.3.2.cpp:1182 @ 403509)
  0.01   6982.08     1.02                             Tree::DisperseSeed() (main_v2.3.2.cpp:1343 @ 403f2d)
  0.01   6983.07     0.99                             Species::DeathRate(float, float, int) (main_v2.3.2.cpp:727 @ 40e3d3)
  0.01   6984.04     0.97                             Tree::Fluxh(int) (main_v2.3.2.cpp:1076 @ 402d08)
  0.01   6985.00     0.97                             Tree::Average() (main_v2.3.2.cpp:1512 @ 4052da)
  0.01   6985.92     0.92                             max(int, int) (main_v2.3.2.cpp:344 @ 40e170)
  0.01   6986.84     0.92                             max(int, int) (main_v2.3.2.cpp:345 @ 40e173)
  0.01   6987.74     0.90                             Tree::CalcLAI() (main_v2.3.2.cpp:1032 @ 402992)
  0.01   6988.62     0.88                             Tree::Growth() (main_v2.3.2.cpp:1152 @ 403284)
  0.01   6989.49     0.87                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1286 @ 403c11)
  0.01   6990.33     0.85                             UpdateTree() (main_v2.3.2.cpp:2708 @ 40ad74)
  0.01   6991.16     0.83                             UpdateField() (main_v2.3.2.cpp:2439 @ 409eaf)
  0.01   6991.98     0.82                             Tree::Growth() (main_v2.3.2.cpp:1176 @ 403447)
  0.01   6992.80     0.82 871335198     0.00     0.00  flor(float) (main_v2.3.2.cpp:322 @ 40e08f)
  0.01   6993.62     0.82                             Tree::Fluxh(int) (main_v2.3.2.cpp:1110 @ 403111)
  0.01   6994.41     0.79                             genrand2i() (main_v2.3.2.cpp:3295 @ 40dc5d)
  0.01   6995.20     0.79                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1252 @ 4038e9)
  0.01   6995.97     0.77 960000000     0.00     0.00  Tree::CalcLAI() (main_v2.3.2.cpp:1019 @ 402948)
  0.01   6996.73     0.76                             Tree::Growth() (main_v2.3.2.cpp:1158 @ 403347)
  0.01   6997.46     0.73                             Tree::Average() (main_v2.3.2.cpp:1507 @ 4050ca)
  0.01   6998.19     0.73                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:815 @ 40ea43)
  0.01   6998.90     0.71                             Tree::DisperseSeed() (main_v2.3.2.cpp:1342 @ 403f65)
  0.01   6999.60     0.70                             Tree::CalcLAI() (main_v2.3.2.cpp:1048 @ 402bd7)
  0.01   7000.29     0.69                             Tree::Fluxh(int) (main_v2.3.2.cpp:1075 @ 402cfb)
  0.01   7000.97     0.68                             UpdateField() (main_v2.3.2.cpp:2491 @ 409fe5)
  0.01   7001.63     0.67                             Tree::CalcLAI() (main_v2.3.2.cpp:1036 @ 4029d2)
  0.01   7002.29     0.66                             UpdateTreefall() (main_v2.3.2.cpp:2747 @ 40af1e)
  0.01   7002.95     0.66                             Tree::Growth() (main_v2.3.2.cpp:1139 @ 40319d)
  0.01   7003.61     0.66                             Tree::CalcLAI() (main_v2.3.2.cpp:1049 @ 402be6)
