Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.02   4909.73     1.05 655625534     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) (stl_construct.h:148 @ 4102af)
  0.02   4910.78     1.05                             UpdateTreefall() (troll.cpp:2999 @ 40b3fe)
  0.02   4911.82     1.04                             Tree::UpdateLeafDynamics() (troll.cpp:1456 @ 403c2d)
  0.02   4912.83     1.01                             Tree::CalcLAI() (troll.cpp:1239 @ 402ec9)
  0.02   4913.82     0.99 305647861     0.00     0.00  std::exp(float) (cmath:242 @ 40e100)
  0.02   4914.80     0.99                             Tree::Growth() (troll.cpp:1363 @ 40365c)
  0.02   4915.79     0.99                             std::vector<int, std::allocator<int> >::operator[](unsigned long) (stl_vector.h:771 @ 40fc5f)
  0.02   4916.76     0.98                             Tree::Fluxh(int) (troll.cpp:1284 @ 403207)
  0.02   4917.73     0.97                             Tree::UpdateTreeBiometry() (troll.cpp:1497 @ 403fe9)
  0.02   4918.69     0.96                             UpdateField() (troll.cpp:2691 @ 40a386)
  0.02   4919.63     0.94                             Tree::Growth() (troll.cpp:1393 @ 4038e1)
  0.02   4920.55     0.93                             sgenrand2i(unsigned long) (troll.cpp:3515 @ 40dcfe)
  0.02   4921.48     0.93                             sgenrand2i(unsigned long) (troll.cpp:3517 @ 40dd1a)
  0.02   4922.41     0.93                             max(int, int) (troll.cpp:360 @ 40e2f4)
  0.02   4923.33     0.93                             max(int, int) (troll.cpp:361 @ 40e2f7)
  0.02   4924.25     0.92 654301400     0.00     0.00  Tree::FallTree() (troll.cpp:1621 @ 404a78)
  0.02   4925.16     0.91 147525962     0.00     0.00  std::cos(float) (cmath:204 @ 40e0cc)
  0.02   4926.07     0.91                             Tree::Growth() (troll.cpp:1366 @ 40368f)
  0.02   4926.97     0.90                             Tree::CalcLAI() (troll.cpp:1248 @ 40302f)
  0.02   4927.86     0.89                             Tree::Growth() (troll.cpp:1390 @ 403856)
  0.02   4928.74     0.88                             genrand2i() (troll.cpp:3531 @ 40ddc6)
  0.02   4929.61     0.87                             Tree::CalcLAI() (troll.cpp:1247 @ 403020)
  0.02   4930.45     0.84                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:988 @ 40f645)
  0.02   4931.28     0.84                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:910 @ 40ea23)
  0.02   4932.10     0.82                             Tree::UpdateTreeBiometry() (troll.cpp:1501 @ 404021)
  0.02   4932.92     0.82                             Tree::Average() (troll.cpp:1721 @ 4054a2)
  0.02   4933.73     0.81                             UpdateTree() (troll.cpp:2959 @ 40b202)
  0.02   4934.52     0.79                             std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) (vector.tcc:156 @ 40fa83)
